#,Name,Type,Stars,Score,Address,DetailScores,Comments
1,Ben Thanh Retreats Hotel,Khách sạn,0,"9,6","121/39 Le Thi Rieng street, Ben Thanh ward, District 1, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,9 | Tiện nghi - 9,3 | Sạch sẽ - 9,8 | Thoải mái - 9,7 | Đáng giá tiền - 9,6 | Địa điểm - 9,5 | WiFi miễn phí- 8,8", · 275 đánh giá
2,Baoanh Hostel,Chỗ nghỉ nhà dân,0,"9,5","241/11/3 Pham Ngu Lao Street, Pham Ngu Lao Ward, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,9 | Tiện nghi- 9,0 | Sạch sẽ - 9,6 | Thoải mái - 9,3 | Đáng giá tiền - 9,6 | Địa điểm - 9,8 | WiFi miễn phí- 8,8", · 238 đánh giá
3,Maison Royale,Khách sạn,0,"9,6","129/4 Ly Chinh Thang Street, Ward 7, Dist 3, Quận 3, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,9 | Tiện nghi - 9,5 | Sạch sẽ - 9,7 | Thoải mái - 9,6 | Đáng giá tiền - 9,8 | Địa điểm - 9,4 | WiFi miễn phí - 9,5", · 429 đánh giá
4,The Art - G9 Homestay,Chỗ nghỉ nhà dân,0,"9,5","212B/68 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,8 | Tiện nghi - 9,6 | Sạch sẽ - 9,7 | Thoải mái - 9,7 | Đáng giá tiền - 9,6 | Địa điểm - 9,4 | WiFi miễn phí - 9,6", · 664 đánh giá
5,The White House,Khách sạn,0,"9,4","26/5 Đỗ Quang Đẩu, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,7 | Tiện nghi - 9,1 | Sạch sẽ - 9,6 | Thoải mái - 9,3 | Đáng giá tiền - 9,5 | Địa điểm - 9,5 | WiFi miễn phí - 9,4", · 458 đánh giá
6,Vy Khanh Guesthouse,Nhà khách,0,"9,5","241/11/6 Pham Ngu Lao, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,9 | Tiện nghi - 9,1 | Sạch sẽ - 9,5 | Thoải mái - 9,3 | Đáng giá tiền - 9,7 | Địa điểm - 9,9 | WiFi miễn phí- 8,8", · 191 đánh giá
7,Sherwood Suites,Khách sạn căn hộ,5,"9,4","192 Nam Ky Khoi Nghia, Vo Thi Sau Ward, District 3, , Quận 3, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,5 | Tiện nghi - 9,6 | Sạch sẽ - 9,8 | Thoải mái - 9,7 | Đáng giá tiền - 9,2 | Địa điểm- 9,1 | WiFi miễn phí - 9,5", · 160 đánh giá
8,The Hammock Hotel Fine Arts Museum,Khách sạn,3,"9,2","59-61 Nguyen Thai Binh Street, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ - 9,5 | Tiện nghi - 9,3 | Sạch sẽ - 9,3 | Thoải mái - 9,3 | Đáng giá tiền- 9,0 | Địa điểm- 9,3 | WiFi miễn phí - 10", · 430 đánh giá
9,MAI HOUSE Saigon,Khách sạn,5,"9,2","157 Nam Ky Khoi Nghia Street (or 01 Ngo Thoi Nhiem Street), Ward 6, District 3, Quận 3, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ- 9,3 | Tiện nghi - 9,5 | Sạch sẽ - 9,7 | Thoải mái - 9,6 | Đáng giá tiền - 9,2 | Địa điểm- 9,2 | WiFi miễn phí - 9,5", · 399 đánh giá
10,Coucou Homestead,Chỗ nghỉ nhà dân,0,"9,2","121/35 Lê Thị Riêng, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nhân viên phục vụ- 9,3 | Tiện nghi - 9,1 | Sạch sẽ - 9,3 | Thoải mái- 9,2 | Đáng giá tiền - 9,2 | Địa điểm - 9,5 | WiFi miễn phí- 8,2", · 291 đánh giá
